night,observationStartMJD,azimuth,altitude,rotTelPos,rotSkyPos,filter,band,scheduler_note,survey
115,61322.282592272946,331.9752861848256,61.838952142823,-43.23610385687099,109.11275556391793,r_57,r,"DD:XMM_LSS, 20261008, 0, 478",DDF
116,61322.988432938,256.81206143854916,51.13696289940417,31.056953575512505,340.0576743661511,r_57,r,"ToO, neutrino, r, 32, i2, 60",ToO
117,61323.98828639941,344.6953072357335,73.55344076197166,27.934896816638062,48.59013462491584,r_57,r,greedy r,WFD (greedy)
118,61325.29452137532,319.56227672346466,58.24824813362562,47.09590013321809,8.60780542038172,g_6,g,"DD:XMM_LSS, 20261011, 0, 258",DDF
119,61325.98947706291,320.81181290980663,74.83382171135624,16.640912588142577,38.44862307431966,r_57,r,greedy r,WFD (greedy)
120,61327.20062479741,279.7039746581068,70.71000858064437,10.609761415803275,9.025843501272655,u_24,u,"templates uu, 20, 20",templates
121,61328.19965465898,216.822851931094,71.88231614118803,-15.812877043186779,331.7537785698631,r_57,r,"DD:ELAISS1, 20261014, 0, 1123",DDF
122,61329.20109094727,218.82757329426514,71.13096624649205,0.22837030625642807,318.5614846977677,g_6,g,"DD:ELAISS1, 20261015, 0, 899",DDF
123,61329.991480713514,337.541954802645,73.55143220758819,-8.575972892739896,78.73803134237815,r_57,r,greedy r,WFD (greedy)
124,61331.10346496764,66.60593929422267,42.23691676759158,-37.04065282704031,179.67757488418417,y_10,y,"DD:XMM_LSS, 20261016, 0, 126",DDF
126,61332.993779612334,253.57946464651454,41.29615513236732,-20.3697849095068,35.23780422949276,r_57,r,"ToO, neutrino, r, 32, i7, 71",ToO
127,61334.201332835895,187.4626669521896,74.57056242043765,-42.52659412217057,321.6478086379314,y_10,y,"templates yy, 4, 43",templates
128,61334.99494552327,250.7291524626868,33.204541532822454,-47.55571974581477,65.74959637320151,i_39,i,"twilight_near_sun, 0",twilight
129,61336.20129220171,192.70054450964042,67.66264243374373,10.611150452460386,277.1957709645225,i_39,i,"templates iz, 6, 6",templates
130,61336.99564298795,313.2311045989598,70.97610404327256,-38.51805176453888,87.62863735299348,r_57,r,greedy r,WFD (greedy)
131,61338.191327550376,228.96819386647084,74.06949381599878,51.17703806289175,276.78653171058494,y_10,y,"templates yy, 15, 32",templates
132,61339.28878585654,276.7668110105179,77.22475560604403,13.220713432180627,0.4449049112714083,g_6,g,"DD:ECDFS, 20261025, 0, 1532",DDF
133,61340.19254626065,227.98423814573783,66.50153321972422,-0.9606928914925106,333.76743702834244,r_57,r,"DD:ELAISS1, 20261026, 2, 1135",DDF
134,61341.20017638927,356.14388015971247,64.42959775259327,0.5039389850593033,86.0680213695124,y_10,y,"DD:XMM_LSS, 20261027, 0, 130",DDF
135,61342.19293941313,359.1946180926325,64.50628803367522,-4.292002801568292,93.50837702803746,r_57,r,"DD:XMM_LSS, 20261028, 0, 498",DDF
136,61343.266372700644,281.4241101067167,80.73726266298951,-25.295315977718364,41.61019122622697,g_6,g,"DD:ECDFS, 20261029, 0, 1536",DDF
137,61344.00059091177,229.3218704734556,46.935717268819566,-2.1341300567878774,356.4917679963131,r_57,r,"ToO, neutrino, r, 37, i2, 60",ToO
138,61345.00045092375,29.10626565230226,55.45548647707562,34.44046284482472,80.45021931201445,r_57,r,greedy r,WFD (greedy)
139,61346.00107996131,352.4376954496568,70.7000464673733,-48.801595796672196,132.23202032587247,r_57,r,greedy r,WFD (greedy)
141,61348.20018332788,340.3502357015549,63.33582431754695,5.4410590445558125,67.52220143898461,u_24,u,"DD:XMM_LSS, 20261102, 0, 43",DDF
142,61349.00385207847,229.66328055080348,42.92437687128614,52.54445617124712,306.6505059866297,r_57,r,"ToO, neutrino, r, 37, i7, 71",ToO
144,61351.00501753178,252.6708226876374,31.94443088805497,-3.099191298380753,22.731395072449008,z_20,z,"twilight_near_sun, 0",twilight
145,61352.00500244345,352.9741795765322,72.81868649849602,-26.489611105016515,110.32515934329999,r_57,r,greedy r,WFD (greedy)
146,61353.00584852574,39.642592954957536,71.76615839172557,-19.579218543670393,144.52721917345028,r_57,r,greedy r,WFD (greedy)
147,61354.006584681054,315.27851072297267,60.042583025934796,3.171422752335102,49.116672569571485,r_57,r,greedy r,WFD (greedy)
148,61355.200262607665,326.80137588439754,60.539508351406944,-0.7479898984929235,62.32558367800007,g_6,g,"DD:XMM_LSS, 20261110, 0, 286",DDF
149,61356.00784719618,352.55692120932537,72.75832949895826,-56.05572552450501,139.5108880645601,r_57,r,greedy r,WFD (greedy)
151,61358.01031967635,170.52737592682075,34.96876841415647,47.46066537821737,159.85395300995,r_57,r,"ToO, neutrino, r, 39, i2, 78",ToO
152,61359.01101760631,170.64372878488064,35.143530664237815,-43.24655948964982,251.84941315137635,r_57,r,"ToO, neutrino, r, 39, i5, 84",ToO
153,61360.107894999775,36.32310528852358,70.65006940288944,7.027260663520881,114.74018154380046,i_39,i,"templates ri, 14, 53",templates
154,61361.011408762824,40.79804733491376,50.01211442319968,-46.70403803251197,171.05746518818697,r_57,r,greedy r,WFD (greedy)
155,61362.20012761117,348.7488495363418,72.94154634283015,21.836148431204336,58.058927245950365,z_20,z,"templates iz, 10, 51",templates
156,61363.01335706107,248.15246091002504,31.959295472710913,-26.167176915082404,44.13403074827542,r_57,r,"twilight_near_sun, 0",twilight
157,61364.201361966196,183.64974513428862,39.01898717359616,19.208066383912605,270.1799688191945,r_57,r,"ToO, neutrino, r, 39, i7, 89",ToO
158,61365.014490502086,282.2812996678701,72.0109371777913,27.873837572239218,353.57331937500544,r_57,r,greedy r,WFD (greedy)
159,61366.01482423171,329.59347836323013,72.9622957155266,33.559770089382674,29.52870442921398,r_57,r,greedy r,WFD (greedy)
160,61367.016147278126,246.29096697660117,31.89944216958464,-46.98804532576809,64.32084241574591,z_20,z,"twilight_near_sun, 0",twilight
161,61368.01616490637,356.7817462333294,68.59650599807405,50.969074991096726,36.22902602751122,r_57,r,greedy r,WFD (greedy)
162,61369.27050459783,222.75783186424795,59.38120421789856,12.019111969865456,321.54258043016677,g_6,g,"DD:EDFS_a, 20261124, 0, 2202",DDF
163,61370.0175470429,24.829883901851765,62.19802196597993,-54.9314192654306,166.2449045085133,r_57,r,greedy r,WFD (greedy)
164,61371.20043030228,304.7506083686581,50.92842440930419,-5.952117288847937,50.458033138109606,y_10,y,"DD:XMM_LSS, 20261126, 0, 140",DDF
165,61372.01901823444,46.2000087195569,63.62600422823573,-15.227361516665018,144.55882060198292,r_57,r,greedy r,WFD (greedy)
166,61373.20084173902,236.16982270801327,41.54352950324956,-45.4406705683194,50.04683356896794,g_6,g,"DD:ELAISS1, 20261128, 0, 943",DDF
167,61374.02099431869,229.5803466686063,64.85149216421227,37.082370641730584,298.98990602887125,r_57,r,"ToO, neutrino, r, 45, i2, 96",ToO
168,61375.02151659634,246.19496788277362,32.641389004215725,-21.854268910109408,38.65645245261609,i_39,i,"twilight_near_sun, 0",twilight
169,61376.200958434056,235.98887391349655,39.287221339750495,28.84689509646312,337.8178718535326,r_57,r,"DD:ELAISS1, 20261201, 0, 1171",DDF
170,61377.02290535016,231.7711978030286,62.41319862968858,-24.992904636719572,5.559782993205641,u_24,u,"ToO, neutrino, u, 45, i0, 91",ToO
171,61378.200484654546,297.61828758101603,45.70587154374214,-6.75107793879735,46.49401902235128,r_57,r,"DD:XMM_LSS, 20261203, 3, 534",DDF
172,61379.02413761569,232.91107654261046,60.760704676637104,-29.186219392571438,12.432599240327216,r_57,r,"ToO, neutrino, r, 45, i7, 107",ToO
173,61380.02504817297,193.21869228825688,53.70504018736302,52.3540957000361,245.1841424428599,r_57,r,"ToO, neutrino, r, 48, i5, 138",ToO
174,61381.02453129736,15.458456012924454,72.51100799511228,-39.19900668853807,142.83946081735175,r_57,r,greedy r,WFD (greedy)
176,61383.20051739722,293.3286810242839,42.09657390776925,26.410224476368068,10.748094648058665,g_6,g,"DD:XMM_LSS, 20261208, 0, 314",DDF
177,61384.02630192294,331.36663092358344,68.52490947023465,60.080418647525285,4.958651405268166,r_57,r,greedy r,WFD (greedy)
178,61385.20053068747,291.58916463813597,40.42176543290094,35.82217252797821,0.36873349195970495,u_24,u,"DD:XMM_LSS, 20261210, 0, 67",DDF
179,61386.02838851508,197.4788901561272,52.07223860122616,29.873800770815148,277.49872388223366,r_57,r,"ToO, neutrino, r, 48, i7, 143",ToO
